X,Y,Cluster,Region,City,Partner,Lon,Lat,Population,Strata,Salary,Ranking,SB Trade Z,Target Pen,Target P_1,Actual Pen,Ttl,IL+FS,DT,FC,St,Op,Lt,SB,Ttl g,St g,Op g,SB g,KFC Av Sal,EBITDA H12,ViT,BK,icon_url
47.123401,61.309276,NW,Архангельская область,Коряжма,AmRest,47.123401000000001,61.309275999999997,36 224,30 - 60,44 488,ok,Low Density Residential,100 000,36 224,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
38.942435,44.989228,South,Адыгея республика,пгт. Яблоновский,AmRest,38.942435000000003,44.989227999999997,35 639,30 - 60,"0",Нет рейтинга,"0",,35 639,,"0","0","0","0","0","0","0","0","1","1","0","0",,,,,
41.047493,45.103812,South,Краснодарский край,Новокубанск,AmRest,41.047493000000003,45.103811999999998,35 173,30 - 60,27 962,good,Low Density Residential,80 000,35 173,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
40.696395,45.358423,South,Краснодарский край,Гулькевичи,AmRest,40.696395000000003,45.358423000000002,34 215,30 - 60,28 557,good,Low Density Residential,80 000,34 215,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
43.513611,56.102066,Volga,Нижегородская область,Богородск,AmRest,43.513610999999997,56.102066000000001,33 931,30 - 60,28 236,ok,Low Density Residential,100 000,33 931,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
50.804958,54.428117,Volga,Татарстан республика,Нурлат,AmRest,50.804957999999999,54.428117000000000,32 345,30 - 60,34 297,ok,Low Density Residential,100 000,32 345,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
28.088136,59.11779,NW,Ленинградская область,Сланцы,AmRest,28.088135999999999,59.117789999999999,32 337,30 - 60,35 185,ok,Low Density Residential,100 000,32 337,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
38.170432,46.051547,South,Краснодарский край,Приморско-Ахтарск,AmRest,38.170431999999998,46.051546999999999,32 180,30 - 60,26 673,ok,Low Density Residential,100 000,32 180,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
42.512483,55.429716,Volga,Нижегородская область,Кулебаки,AmRest,42.512483000000003,55.429715999999999,32 076,30 - 60,30 585,ok,Low Density Residential,100 000,32 076,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
46.305485,60.760356,NW,Вологодская область,Великий Устюг,AmRest,46.305484999999997,60.760356000000002,31 189,30 - 60,29 549,ok,Low Density Residential,100 000,31 189,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
